2024-12-22 11:44:49,089 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:44:46 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '130', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 c587edeea2bc3d04595013a344ba707e.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'cVOcmVNF36ErrFik2JISMfXX4_j57EQYcgtO3coejThchb9GNS9r-g=='})
2024-12-22 11:45:02,267 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:45:01 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '5', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 5c4e99b05f9fd6102a3e039a6bd98968.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'Hddag7YT3keJHZKlfSOanD6tq2zrHR441s3kQS16FKIp2oKAadvGpQ=='})
2024-12-22 11:46:02,329 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:46:02 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '5', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 04df3a927f6b1e080307413885ff529c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'qmpCS01YIDwYAfqsrgaLsdthJUzQc7KZeU_R-shElEW1mQKFoP4_AQ=='})
2024-12-22 11:49:02,890 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:49:02 GMT', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '5', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 9f6f98693a92fb28f50ee1be22989de2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'ex1uPOZ6I4j7kqYdQ5Nw63vJFaA2c4O10xxYSUpBPB6wQp5JR7yrQg=='})
2024-12-22 11:53:50,714 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:53:50 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '85', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 1d8813dd0a050f0a8e045f20546ceb5e.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'biDM3sxaSR2YX6PE5FxpUZ9y0YZAcuEyUnXGKZKsgAPgwMHsb-6tQQ=='})
2024-12-22 11:54:19,090 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:54:18 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '55', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 0b67eb6a39657fa6d911d85ba56004ec.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'jNjlP30HtP4B-tpCZ_y2WwLWPKBfv3FEiMMehHc4P5GoP_LcatqGYg=='})
2024-12-22 11:55:20,189 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:55:19 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '45', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 2249efa6c1c2e694b3beed3ec7f720d6.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': '7-OV0E6WyqGNsdRuuXhEOXLyBkwMHsf6zPBSHJkAUqKFC9Ed__kjFg=='})
2024-12-22 11:55:50,141 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:55:49 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '100', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 ba38dda2c2db318ccba0a634424fa632.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': 'Vzg3-RdxtNXg3-Lmnt6n4I3Xa6NlnLUB_QwXA0x9d9NShU0LZZeYFg=='})
2024-12-22 11:57:33,978 - live_trade_logger - ERROR - An eror occurred:(400, -1021, 'Timestamp for this request is outside of the recvWindow.', {'Content-Type': 'application/json', 'Content-Length': '79', 'Connection': 'keep-alive', 'Date': 'Sun, 22 Dec 2024 03:57:32 GMT', 'Access-Control-Allow-Methods': 'GET, POST, PUT, DELETE, OPTIONS', 'Server': 'Tengine', 'x-mbx-used-weight-1m': '105', 'x-response-time': '0ms', 'Access-Control-Allow-Origin': '*', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 ff0896bca963fdb839934a38daad05c8.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'TPE50-C1', 'X-Amz-Cf-Id': '28GVe95Wx8Ll2cAFGefcsWyfbiPIP2j8GWa4GKmHlZNNWWzqkoOyrQ=='})
2024-12-22 11:57:49,083 - live_trade_logger - INFO - 反转信号出现：平空并做多，品种：DOGEUSDT,数量：36.0,方向:多
